Espresso,Sabrina Carpenter
Feel This Moment (feat. Christina Aguilera),"Pitbull,Christina Aguilera"
Say It Right,Nelly Furtado
Stayin Alive,Bee Gees
Numb,Dotan
Lake Washington Boulevard,Pinguini Tattici Nucleari
Kissing Strangers,"DNCE,Nicki Minaj"
Thunder,"Gabry Ponte,LUM!X,Prezioso"
L'esercito del selfie (feat. Lorenzo Fragola & Arisa),"Takagi & Ketra,Lorenzo Fragola,Arisa"
The Nights,Avicii
Iko Iko,"Justin Wellington,Small Jam"
Leave a Light On,Tom Walker
My Heart,Christopher
C’est la vie,Khaled
Old Town Road,Lil Nas X
